지점명,주소,전화번호,위도,경도,지역
신한 프리미어 센트럴금융센터,서울특별시 종로구 통일로 134 (평동) 디타워 돈의문 3층,1588-0365,37.5667350238449,126.966357200132,종로구
신한 프리미어 남대문,서울특별시 중구 세종대로9길 20(태평로2가) 신한은행 지하1층,1588-0365,37.5611194573103,126.974573564652,중구
신한 프리미어 서울금융센터,서울특별시 중구 청계천로 54 신한은행 광교빌딩 1층,1588-0365,37.5683460118293,126.983294090503,중구
신한 프리미어 목동,서울특별시 양천구 오목로 300 목동현대하이페리온 2차 206동 201호,1588-0365,37.5248304019543,126.87002254331,양천구
신한 프리미어 영업부,서울특별시 영등포구 의사당대로 96 TP타워 41층,1588-0365,37.521547851978,126.92294256449,영등포구
신한 프리미어 강남대로금융센터,서울특별시 서초구 강남대로 343(서초동) 신덕빌딩 2층,1588-0365,37.4935195538047,127.029241204878,서초구
신한 프리미어 반포금융센터,서울특별시 서초구 잠원로 24 반포자이프라자 3층,1588-0365,37.5071156980651,127.009873208557,서초구
신한 프리미어 광진금융센터,서울특별시 광진구 능동로 110 스타시티 영존빌딩 B동 2층,1588-0365,37.540657941434,127.07141185507,광진구
신한 프리미어 마곡역,서울특별시 강서구 공항대로 195 힐스테이트에코동익오피스텔 2층,1588-0365,37.5598879504334,126.829169795133,강서구
신한 프리미어 강남금융센터,"서울특별시 강남구 테헤란로 329 삼흥빌딩 2층,3층",1588-0365,37.5045321304958,127.047693566262,강남구
신한 프리미어 도곡금융센터,서울특별시 강남구 남부순환로 2806 군인공제회관 25층,1588-0365,37.489109180937,127.052914072356,강남구
신한 프리미어 인천금융센터,인천광역시 남동구 인주대로 617 용진빌딩 2층,1588-0365,37.4501559482338,126.705559146442,인천광역시
신한 프리미어 분당금융센터,경기도 성남시 분당구 황새울로258번길 37 흥국생명빌딩 3층,1588-0365,37.3786925999025,127.116028407852,경기도
신한 프리미어 수원금융센터,경기도 수원시 팔달구 권광로195 학산빌딩 4층,1588-0365,37.2649449442455,127.0326839743,경기도
신한 프리미어 안산,경기도 안산시 단원구 당곡로 17 2층,1588-0365,37.318607398996,126.833091407134,경기도
신한 프리미어 의정부,경기도 의정부시 행복로8 (의정부동) 신한은행빌딩 3층,1588-0365,37.7394341349347,127.048579498419,경기도
신한 프리미어 평촌,경기도 안양시 동안구 동안로 126 (호계동) 신한은행빌딩 3층,1588-0365,37.3899898579188,126.951976178441,경기도
신한 프리미어 판교,경기도 성남시 분당내곡로 117 그레이츠판교 3층,1588-0365,37.3943014713942,127.112200514447,경기도
신한 프리미어 원주금융센터,"강원도 원주시 능라동길 61, 4층",1588-0365,37.3341493273774,127.931233204873,강원도
신한 프리미어 청주금융센터,"충청북도 청주시 대농로 33 테라스퀘어 4층 407호, 408호, 409호",1588-0365,36.6424521877916,127.425915551562,충청북도
신한 프리미어 대전금융센터,대전광역시 서구 대덕대로 229 명화빌딩 2층,1588-0365,36.3533519790116,127.378921576313,대전광역시
신한 프리미어 대구금융센터,대구광역시 수성구 동대구로 334 한국교직원공제회관 6층,1588-0365,35.8600369120632,128.627178155447,대구광역시
신한 프리미어 울산금융센터,울산광역시 남구 삼산로 227 4층,1588-0365,35.5386403460468,129.331805489521,울산광역시
신한 프리미어 동래금융센터,부산광역시 연제구 법원로 18 세종빌딩 2층,1588-0365,35.190658143863,129.073494999413,부산광역시
신한 프리미어 부산금융센터,부산광역시 부산진구 새싹로 6 신한은행 부산서면지점 사옥 7층,1588-0365,35.1587251636414,129.05873802869,부산광역시
신한 프리미어 창원금융센터,경상남도 창원시 성산구 중앙대로 60 1층,1588-0365,35.220197622465,128.677710699352,경상남도
신한 프리미어 구미,경상북도 구미시 송원동로 5 신한투자증권빌딩 1층,1588-0365,36.11858626485,128.346228106062,경상북도
신한 프리미어 광주금융센터,광주광역시 광산구 임방울대로 342 국선빌딩 2층,1588-0365,35.1903839954838,126.82432647259,광주광역시
신한 프리미어 전북금융센터,전라북도 전주시 완산구 효자로 194 2층,1588-0365,35.8186157364702,127.106458887155,전라북도
신한 프리미어 광양금융센터,전라남도 광양시 광장로 148-3 (중동) 신한투자증권빌딩 2층,1588-0365,34.9374021087538,127.69543434982,전라남도
신한 프리미어 제주금융센터,제주도 제주시 연북로 17(노형동) 전문건설공제조합 2층,1588-0365,33.4823888085544,126.483279292562,제주도
